Tm,W,L,T,Position,Reason
Kansas City Chiefs (1),12,4,0,West Champion,division win percentage
New England Patriots (2),11,5,0,East Champion,head-to-head record
Houston Texans (3),11,5,0,South Champion,
Baltimore Ravens (4),10,6,0,North Champion,
Los Angeles Chargers (5),12,4,0,Wild Card #1,
Indianapolis Colts (6),10,6,0,Wild Card #2,
Pittsburgh Steelers,9,6,1,,
Tennessee Titans,9,7,0,,
Cleveland Browns,7,8,1,,
Miami Dolphins,7,9,0,,
Denver Broncos,6,10,0,,strength of victory
Cincinnati Bengals,6,10,0,,win percentage in common games
Buffalo Bills,6,10,0,,
Jacksonville Jaguars,5,11,0,,
New York Jets,4,12,0,,strength of victory
Oakland Raiders,4,12,0,,
