,,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
,Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
,1,Tampa Bay Buccaneers,16,195,67,34.40%,10,8,80.00%,50,29,58.00%
,2,Baltimore Ravens,16,214,75,35.00%,16,11,68.80%,47,26,55.30%
,3,New England Patriots,16,206,76,36.90%,18,7,38.90%,44,23,52.30%
,4,Dallas Cowboys,16,197,77,39.10%,14,9,64.30%,54,29,53.70%
,5,Tennessee Titans,16,210,77,36.70%,22,12,54.50%,55,29,52.70%
,6,Miami Dolphins,16,213,77,36.20%,16,9,56.30%,51,29,56.90%
,7,Oakland Raiders,16,198,78,39.40%,15,4,26.70%,57,33,57.90%
,8,Carolina Panthers,16,211,80,37.90%,13,9,69.20%,55,24,43.60%
,9,Indianapolis Colts,16,193,80,41.50%,8,3,37.50%,50,25,50.00%
,10,Minnesota Vikings,16,206,80,38.80%,14,3,21.40%,44,24,54.50%
,11,Buffalo Bills,16,205,82,40.00%,14,4,28.60%,57,30,52.60%
,12,Seattle Seahawks,16,212,82,38.70%,20,6,30.00%,46,26,56.50%
,13,Los Angeles Rams,16,220,82,37.30%,14,12,85.70%,52,37,71.20%
,14,Philadelphia Eagles,16,205,82,40.00%,18,8,44.40%,51,23,45.10%
,15,Houston Texans,16,213,82,38.50%,13,3,23.10%,44,23,52.30%
,16,Green Bay Packers,16,199,82,41.20%,18,12,66.70%,45,28,62.20%
,17,Jacksonville Jaguars,16,224,83,37.10%,13,6,46.20%,55,30,54.50%
,18,San Diego Chargers,16,208,83,39.90%,16,11,68.80%,66,36,54.50%
,19,New Orleans Saints,16,194,84,43.30%,10,4,40.00%,56,32,57.10%
,20,New York Giants,16,238,84,35.30%,14,7,50.00%,43,17,39.50%
,21,New York Jets,16,210,84,40.00%,10,2,20.00%,51,29,56.90%
,22,Chicago Bears,16,210,85,40.50%,14,10,71.40%,59,31,52.50%
,23,Arizona Cardinals,16,219,85,38.80%,15,7,46.70%,45,25,55.60%
,24,Denver Broncos,16,236,86,36.40%,16,6,37.50%,42,22,52.40%
,25,Cincinnati Bengals,16,217,86,39.60%,19,9,47.40%,49,25,51.00%
,26,Pittsburgh Steelers,16,214,88,41.10%,21,11,52.40%,57,26,45.60%
,27,Atlanta Falcons,16,213,89,41.80%,25,18,72.00%,55,40,72.70%
,28,Detroit Lions,16,198,90,45.50%,8,3,37.50%,53,36,67.90%
,29,Cleveland Browns,16,206,93,45.10%,12,9,75.00%,60,40,66.70%
,30,Kansas City Chiefs,16,222,96,43.20%,20,10,50.00%,53,26,49.10%
,31,Washington Redskins,16,208,97,46.60%,16,9,56.30%,54,32,59.30%
,32,San Francisco 49ers,16,226,102,45.10%,7,4,57.10%,66,41,62.10%
,,League Total,,,,,,,,,,
