,,,,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Atlanta Falcons,16,164,1028,36,9.1,6.3,31,Own 28.9,2:57,1.84
2,Oakland Raiders,16,171,1038,40.9,7,6.1,32.9,Own 27.8,2:55,2.07
3,Dallas Cowboys,16,171,1026,31.6,10.5,6,29.6,Own 25.8,2:47,1.77
4,New England Patriots,16,172,1057,30.2,9.9,6.1,34,Own 24.8,2:44,1.6
5,Indianapolis Colts,16,174,1064,39.7,10.3,6.1,33.7,Own 27.2,2:54,2.06
6,Green Bay Packers,16,174,1052,40.2,11.5,6,31.9,Own 30.4,2:55,2.13
7,Tampa Bay Buccaneers,16,175,1047,38.9,13.1,6,34.6,Own 29.3,2:47,2.13
8,New Orleans Saints,16,177,1042,33.3,13.6,5.9,30.4,Own 25.8,2:37,1.75
9,Chicago Bears,16,178,1034,33.1,11.2,5.8,28.7,Own 29.4,2:51,1.67
10,Pittsburgh Steelers,16,178,966,30.3,12.4,5.4,27.6,Own 25.9,2:32,1.67
11,Los Angeles Chargers,16,179,1019,28.5,15.1,5.7,29.3,Own 27.1,2:41,1.48
12,Minnesota Vikings,16,179,989,27.9,10.1,5.5,24.6,Own 27.7,2:28,1.35
13,Kansas City Chiefs,16,179,1077,33.5,13.4,6,32.6,Own 26.0,2:39,1.85
14,Carolina Panthers,16,180,993,33.9,11.7,5.5,28.2,Own 28.1,2:28,1.73
15,Buffalo Bills,16,183,1113,37.2,13.1,6.1,31.1,Own 30.3,2:49,1.9
16,Cincinnati Bengals,16,184,1134,37,7.6,6.2,29.4,Own 29.3,2:52,1.83
17,Tennessee Titans,16,185,1084,37.3,10.8,5.9,28.3,Own 28.7,2:38,1.81
18,Miami Dolphins,16,186,1024,36.6,8.1,5.5,28.5,Own 28.9,2:38,1.98
19,Philadelphia Eagles,16,188,1003,27.1,15.4,5.3,26.1,Own 28.2,2:19,1.47
20,San Francisco 49ers,16,188,1100,37.8,10.1,5.9,29.8,Own 29.5,2:43,1.98
21,Cleveland Browns,16,188,1060,36.2,6.9,5.6,27.8,Own 30.5,2:47,2
22,Detroit Lions,16,192,1075,32.3,16.1,5.6,29.7,Own 27.7,2:31,1.78
23,New York Jets,16,192,1090,33.3,10.4,5.7,29.2,Own 28.4,2:32,1.9
24,Los Angeles Rams,16,193,1058,30.6,14,5.5,28.2,Own 27.7,2:29,1.66
25,Seattle Seahawks,16,193,1081,33.2,11.9,5.6,26.8,Own 29.5,2:33,1.68
26,Houston Texans,16,194,1007,39.7,7.7,5.2,28.6,Own 29.7,2:28,2.1
27,Denver Broncos,16,194,988,32.5,8.8,5.1,23.8,Own 33.2,2:21,1.78
28,Washington Redskins,16,195,1090,35.9,11.8,5.6,28.4,Own 30.3,2:30,1.82
29,Baltimore Ravens,16,195,1081,29.7,17.4,5.5,26.6,Own 26.5,2:26,1.51
30,New York Giants,16,197,1086,35.5,9.6,5.5,30.3,Own 30.1,2:35,1.92
31,Arizona Cardinals,16,200,1040,31.5,10.5,5.2,24.9,Own 28.9,2:22,1.69
32,Jacksonville Jaguars,16,205,1021,23.9,15.6,5,22.2,Own 28.7,2:14,1.24
,League Total,,5903,33567,33.8,11.4,5.7,28.9,Own 28.5,2:37,1.78
