Tm,W,L,T,Position,Reason
Carolina Panthers (1),15,1,0,South Champion,
Arizona Cardinals (2),13,3,0,West Champion,
Minnesota Vikings (3),11,5,0,North Champion,
Washington Redskins (4),9,7,0,East Champion,
Green Bay Packers (5),10,6,0,Wild Card #1,head-to-head record
Seattle Seahawks (6),10,6,0,Wild Card #2,
Atlanta Falcons,8,8,0,,
St. Louis Rams,7,9,0,,head-to-head record
Detroit Lions,7,9,0,,head-to-head record
Philadelphia Eagles,7,9,0,,head-to-head record
New Orleans Saints,7,9,0,,
New York Giants,6,10,0,,conference win percentage
Chicago Bears,6,10,0,,head-to-head record
Tampa Bay Buccaneers,6,10,0,,
San Francisco 49ers,5,11,0,,
Dallas Cowboys,4,12,0,,
