,,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
,Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
,1,New England Patriots,16,195,47,24.10%,22,8,36.40%,29,14,48.30%
,2,San Francisco 49ers,16,192,64,33.30%,25,8,32.00%,40,24,60.00%
,3,Dallas Cowboys,16,201,67,33.30%,22,10,45.50%,57,29,50.90%
,4,Philadelphia Eagles,16,205,70,34.10%,18,11,61.10%,43,24,55.80%
,5,Seattle Seahawks,16,185,71,38.40%,12,7,58.30%,52,32,61.50%
,6,Baltimore Ravens,16,194,72,37.10%,18,6,33.30%,44,21,47.70%
,7,New Orleans Saints,16,210,73,34.80%,25,11,44.00%,47,28,59.60%
,8,Tennessee Titans,16,204,74,36.30%,25,10,40.00%,47,32,68.10%
,9,Cleveland Browns,16,195,74,37.90%,17,6,35.30%,57,35,61.40%
,10,Green Bay Packers,16,197,75,38.10%,18,8,44.40%,48,24,50.00%
,11,Kansas City Chiefs,16,202,75,37.10%,31,16,51.60%,57,29,50.90%
,12,Tampa Bay Buccaneers,16,218,75,34.40%,27,13,48.10%,60,30,50.00%
,13,Chicago Bears,16,209,76,36.40%,23,13,56.50%,53,29,54.70%
,14,Pittsburgh Steelers,16,209,76,36.40%,21,10,47.60%,46,23,50.00%
,15,Buffalo Bills,16,212,76,35.80%,21,8,38.10%,43,24,55.80%
,16,Atlanta Falcons,16,193,77,39.90%,20,12,60.00%,53,31,58.50%
,17,Carolina Panthers,16,193,77,39.90%,9,6,66.70%,64,41,64.10%
,18,Jacksonville Jaguars,16,190,79,41.60%,11,5,45.50%,56,32,57.10%
,19,Denver Broncos,16,211,79,37.40%,19,9,47.40%,46,18,39.10%
,20,Oakland Raiders,16,190,81,42.60%,13,9,69.20%,55,37,67.30%
,21,Miami Dolphins,16,194,81,41.80%,13,8,61.50%,59,37,62.70%
,22,Minnesota Vikings,16,214,85,39.70%,29,16,55.20%,48,21,43.80%
,23,Indianapolis Colts,16,199,85,42.70%,19,8,42.10%,50,26,52.00%
,24,New York Giants,16,216,86,39.80%,14,8,57.10%,54,31,57.40%
,25,Los Angeles Rams,16,218,86,39.40%,24,14,58.30%,52,33,63.50%
,26,New York Jets,16,225,88,39.10%,12,3,25.00%,48,26,54.20%
,27,Los Angeles Chargers,16,195,88,45.10%,13,8,61.50%,40,24,60.00%
,28,Cincinnati Bengals,16,209,89,42.60%,10,5,50.00%,51,25,49.00%
,29,Detroit Lions,16,214,94,43.90%,15,7,46.70%,57,33,57.90%
,30,Houston Texans,16,202,98,48.50%,16,7,43.80%,49,35,71.40%
,31,Arizona Cardinals,16,214,100,46.70%,14,3,21.40%,62,37,59.70%
,32,Washington Redskins,16,227,111,48.90%,19,12,63.20%,59,36,61.00%
,,League Total,,,,,,,,,,
