,,,,,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
,1,Detroit Lions,16,160,993,39.4,8.8,6.2,35.5,Own 27.2,3:02,2.21
,2,Dallas Cowboys,16,168,1040,35.1,11.3,6.2,32.7,Own 28.6,2:43,1.86
,3,Washington Redskins,16,169,1080,38.5,11.8,6.4,35.7,Own 27.8,2:55,2.12
,4,New Orleans Saints,16,172,1043,45.3,12.2,6.1,34.9,Own 29.6,2:42,2.43
,5,Green Bay Packers,16,173,1024,41,13.9,5.9,33.7,Own 28.7,2:40,2.25
,6,Chicago Bears,16,174,1048,42,6.3,6,31.9,Own 29.2,2:56,2.18
,7,Cincinnati Bengals,16,176,1073,34.7,11.4,6.1,31.8,Own 27.2,2:47,1.81
,8,Indianapolis Colts,16,176,1063,41.5,9.7,6,34.7,Own 26.6,2:41,2.13
,9,Atlanta Falcons,16,176,1086,39.2,11.4,6.2,33.6,Own 26.7,2:44,2.22
,10,Minnesota Vikings,16,177,1026,33.3,14.1,5.8,28.4,Own 27.1,2:42,1.7
,11,Pittsburgh Steelers,16,177,1029,34.5,11.9,5.8,30.9,Own 28.7,2:43,1.82
,12,Tennessee Titans,16,177,1060,35,9,6,32.2,Own 26.7,2:40,1.84
,13,New England Patriots,16,179,1026,26.8,11.2,5.7,29,Own 25.0,2:34,1.41
,14,Cleveland Browns,16,179,1093,40.8,6.1,6.1,35,Own 30.2,2:56,2.43
,15,Kansas City Chiefs,16,182,1098,31.9,16.5,6,32.3,Own 26.9,2:42,1.68
,16,Buffalo Bills,16,183,1059,38.8,9.3,5.8,31,Own 29.5,2:43,2.06
,17,New York Jets,16,183,1040,37.7,7.1,5.7,29.9,Own 30.2,2:36,2.05
,18,Tampa Bay Buccaneers,16,184,1048,35.9,14.7,5.7,31.9,Own 28.4,2:36,1.92
,19,Seattle Seahawks,16,184,1049,28.3,10.3,5.7,27.9,Own 28.4,2:41,1.57
,20,Philadelphia Eagles,16,186,1010,33.9,13.4,5.4,29.4,Own 27.7,2:24,1.77
,21,San Diego Chargers,16,186,1062,39.8,14.5,5.7,29.9,Own 31.8,2:36,2.08
,22,Houston Texans,16,186,984,31.7,9.1,5.3,25.8,Own 30.3,2:29,1.68
,23,Oakland Raiders,16,190,1012,35.3,14.2,5.3,31.7,Own 25.2,2:27,2.01
,24,Jacksonville Jaguars,16,191,1075,39.3,5.8,5.6,26.8,Own 31.6,2:35,1.95
,25,Los Angeles Rams,16,192,1057,31.3,9.4,5.5,28,Own 27.3,2:33,1.85
,26,Baltimore Ravens,16,192,1016,28.1,14.1,5.3,26.6,Own 28.8,2:26,1.64
,27,Arizona Cardinals,16,194,1047,32.5,12.9,5.4,25.1,Own 30.3,2:29,1.76
,28,Miami Dolphins,16,194,1133,35.1,12.9,5.8,31.4,Own 28.2,2:40,1.92
,29,Carolina Panthers,16,196,1074,36.2,13.8,5.5,29.4,Own 27.3,2:23,1.86
,30,New York Giants,16,197,1103,29.9,12.2,5.6,27.6,Own 27.8,2:34,1.41
,31,Denver Broncos,16,197,1114,29.4,12.2,5.7,25.6,Own 29.3,2:35,1.47
,32,San Francisco 49ers,16,203,1135,41.4,9.4,5.6,31.9,Own 31.6,2:38,2.33
,,League Total,,5853,33800,35.6,11.3,5.8,30.6,Own 28.4,2:39,1.91
