Tm,W,L,T,Position,Reason
New Orleans Saints (1),13,3,0,South Champion,head-to-head record
Los Angeles Rams (2),13,3,0,West Champion,
Chicago Bears (3),12,4,0,North Champion,
Dallas Cowboys (4),10,6,0,East Champion,
Seattle Seahawks (5),10,6,0,Wild Card #1,
Philadelphia Eagles (6),9,7,0,Wild Card #2,
Minnesota Vikings,8,7,1,,
Atlanta Falcons,7,9,0,,head-to-head record
Washington Redskins,7,9,0,,head-to-head record
Carolina Panthers,7,9,0,,
Green Bay Packers,6,9,1,,
Detroit Lions,6,10,0,,
New York Giants,5,11,0,,head-to-head record
Tampa Bay Buccaneers,5,11,0,,
San Francisco 49ers,4,12,0,,
Arizona Cardinals,3,13,0,,
