Tm,W,L,T,Position,Reason
Denver Broncos (1),12,4,0,West Champion,head-to-head record
New England Patriots (2),12,4,0,East Champion,win percentage in common games
Cincinnati Bengals (3),12,4,0,North Champion,
Houston Texans (4),9,7,0,South Champion,
Kansas City Chiefs (5),11,5,0,Wild Card #1,
Pittsburgh Steelers (6),10,6,0,Wild Card #2,win percentage in common games
New York Jets,10,6,0,,
Buffalo Bills,8,8,0,,head-to-head record
Indianapolis Colts,8,8,0,,
Oakland Raiders,7,9,0,,
Miami Dolphins,6,10,0,,
Jacksonville Jaguars,5,11,0,,head-to-head record
Baltimore Ravens,5,11,0,,
San Diego Chargers,4,12,0,,
Cleveland Browns,3,13,0,,head-to-head record
Tennessee Titans,3,13,0,,
