,,,,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Los Angeles Chargers,16,158,938,37.3,8.2,5.9,31.2,Own 29.5,2:55,2.03
2,Kansas City Chiefs,16,162,1059,34.6,13.6,6.5,34.1,Own 27.1,2:59,1.9
3,Baltimore Ravens,16,164,937,32.9,14.6,5.7,28.8,Own 27.3,2:27,1.65
4,Oakland Raiders,16,165,988,41.2,8.5,6,34.4,Own 25.6,2:49,2.4
5,Atlanta Falcons,16,166,1016,42.8,9,6.1,34.3,Own 28.7,2:47,2.27
6,Denver Broncos,16,166,1018,37.3,8.4,6.1,31.9,Own 28.4,2:53,1.8
7,Indianapolis Colts,16,168,1009,39.3,13.1,6,33.1,Own 28.8,2:51,2.06
8,Houston Texans,16,168,1038,39.3,13.1,6.2,36.8,Own 25.9,2:50,2.25
9,Arizona Cardinals,16,169,1092,42.6,9.5,6.5,37.7,Own 27.1,3:04,2.37
10,Minnesota Vikings,16,171,1075,34.5,17,6.3,31.4,Own 28.2,2:53,1.74
11,Washington Redskins,16,172,1077,41.9,12.2,6.3,34.8,Own 29.6,3:00,2.37
12,Dallas Cowboys,16,172,1044,35.5,9.9,6.1,30.4,Own 30.1,2:49,1.88
13,New Orleans Saints,16,173,1017,34.7,12.7,5.9,30.6,Own 26.3,2:33,1.92
14,Jacksonville Jaguars,16,174,996,37.4,9.2,5.7,33.8,Own 29.1,2:38,2.16
15,San Francisco 49ers,16,176,983,29,14.2,5.6,25.4,Own 28.4,2:38,1.64
16,Detroit Lions,16,177,1108,40.1,9,6.3,35.5,Own 25.8,2:47,2.2
17,Green Bay Packers,16,177,1024,34.5,14.1,5.8,31.8,Own 28.0,2:34,1.8
18,Buffalo Bills,16,178,989,23.6,12.4,5.6,26.2,Own 27.7,2:39,1.29
19,Seattle Seahawks,16,178,1044,37.1,16.3,5.9,34.1,Own 26.5,2:38,2.03
20,Chicago Bears,16,178,1033,31.5,10.7,5.8,28.8,Own 32.6,2:38,1.69
21,Cleveland Browns,16,179,1028,36.9,11.2,5.7,31.6,Own 28.0,2:39,2.07
22,Cincinnati Bengals,16,181,1058,39.8,8.8,5.8,34.4,Own 27.9,2:43,2.12
23,Los Angeles Rams,16,181,1060,33.7,12.7,5.9,29.2,Own 29.1,2:40,1.83
24,Miami Dolphins,16,182,1078,45.6,8.8,5.9,34.3,Own 30.2,2:46,2.53
25,Pittsburgh Steelers,16,184,1043,29.9,19,5.7,25.7,Own 30.5,2:41,1.55
26,New York Giants,16,184,1078,39.7,8.7,5.9,32.5,Own 29.7,2:44,2.23
27,Philadelphia Eagles,16,186,986,33.9,10.2,5.3,28.3,Own 28.8,2:19,1.88
28,Tennessee Titans,16,187,1075,32.1,11.8,5.7,30.7,Own 27.8,2:41,1.8
29,New York Jets,16,189,1050,34.4,10.1,5.6,26.7,Own 31.4,2:35,1.81
30,Carolina Panthers,16,191,1056,41.4,9.4,5.5,30.9,Own 29.7,2:33,2.33
31,New England Patriots,16,191,953,19.4,17.3,5,22.8,Own 24.8,2:20,1
32,Tampa Bay Buccaneers,16,192,1086,39.6,13.5,5.7,27.6,Own 31.3,2:23,2
,League Total,,5639,33036,36,11.8,5.9,31.2,Own 28.5,2:42,1.95
