Tm,W,L,T,Position,Reason
Philadelphia Eagles (1),13,3,0,East Champion,win percentage in common games
Minnesota Vikings (2),13,3,0,North Champion,
Los Angeles Rams (3),11,5,0,West Champion,head-to-head record
New Orleans Saints (4),11,5,0,South Champion,head-to-head record
Carolina Panthers (5),11,5,0,Wild Card #1,
Atlanta Falcons (6),10,6,0,Wild Card #2,
Detroit Lions,9,7,0,,conference win percentage
Seattle Seahawks,9,7,0,,head-to-head record
Dallas Cowboys,9,7,0,,
Arizona Cardinals,8,8,0,,
Green Bay Packers,7,9,0,,win percentage in common games
Washington Redskins,7,9,0,,
San Francisco 49ers,6,10,0,,
Tampa Bay Buccaneers,5,11,0,,head-to-head record
Chicago Bears,5,11,0,,
New York Giants,3,13,0,,
